,index,mturk_papers,class_papers,data_use_mturk_papers,data_use_class_papers
0,nf,2041,2745,1033,1733
1,USA,436,126,328,70
2,CHN,111,91,91,65
3,GBR,96,25,75,15
4,IND,59,53,48,32
5,AUS,51,47,33,28
6,IDN,46,27,38,16
7,CAN,46,31,37,18
8,DEU,41,37,34,25
9,JPN,34,37,30,22
10,BRA,33,28,26,19
11,ZAF,33,22,22,11
12,MYS,32,23,31,15
13,NGA,32,29,29,25
14,IRN,29,15,27,9
15,FRA,28,21,22,15
16,RUS,27,25,15,13
17,ITA,27,24,19,16
18,SWE,26,23,19,15
19,TUR,22,30,19,21
20,NOR,17,18,16,15
21,FIN,17,16,13,7
22,NLD,15,16,15,14
23,PAK,15,14,12,9
24,KOR,15,16,10,10
25,ESP,15,23,13,14
26,THA,14,13,12,6
27,TWN,14,16,12,13
28,MEX,14,13,8,6
29,BEL,12,9,9,8
30,KEN,12,9,11,8
31,GRC,11,16,5,7
32,NZL,10,12,9,7
33,PRK,10,1,9,1
34,POL,10,12,7,7
35,ETH,10,9,6,6
36,DNK,10,14,6,8
37,CHE,10,7,9,5
38,HRV,9,7,6,6
39,PRT,9,14,7,10
40,PHL,9,9,9,6
41,BGD,8,8,7,3
42,EGY,8,9,7,5
43,GHA,8,6,8,5
44,JOR,7,4,7,4
45,UKR,7,3,5,3
46,IRQ,7,17,4,9
47,IRL,7,9,4,7
48,ROU,7,7,4,5
49,SGP,7,12,4,10
50,CZE,7,3,4,2
51,TZA,6,8,6,8
52,VNM,6,6,4,5
53,ZMB,6,5,2,4
54,CHL,6,6,4,5
55,ISR,6,9,5,7
56,ARE,6,3,6,3
57,UGA,6,5,6,5
58,AUT,5,4,3,2
59,LBY,5,5,5,3
60,ZWE,5,3,1,1
61,LVA,5,3,3,0
62,SRB,5,7,4,4
63,TUN,5,3,4,2
64,SYR,5,5,4,4
65,HKG,5,8,4,7
66,SAU,5,4,5,4
67,EST,4,6,2,2
68,BGR,4,5,3,3
69,CRI,4,3,2,2
70,NPL,4,4,3,2
71,SVK,4,3,2,3
72,SLE,4,3,2,2
73,SVN,3,5,2,5
74,RWA,3,4,0,3
75,SSD,3,1,1,1
76,MWI,3,3,1,1
77,LBN,3,3,2,1
78,BLR,3,1,1,1
79,LTU,3,4,2,2
80,KHM,3,2,3,0
81,LKA,3,2,3,0
82,BIH,2,5,2,1
83,PRI,2,0,1,0
84,AZE,2,3,1,1
85,PRY,2,2,2,2
86,URY,2,2,2,2
87,HUN,2,5,2,3
88,AGO,2,2,0,0
89,SLV,2,2,1,1
90,SOM,2,5,2,2
91,TJK,2,1,0,0
92,CYP,2,4,2,2
93,CUB,2,2,1,0
94,KGZ,2,1,1,0
95,XKX,2,6,1,4
96,PER,2,2,1,1
97,ALB,2,0,0,0
98,MMR,2,2,1,1
99,MAR,2,2,2,2
100,NER,2,4,1,2
101,LSO,2,2,1,0
102,LBR,2,2,1,1
103,NIC,2,1,1,1
104,LAO,2,1,2,0
105,ARM,2,2,1,1
106,KWT,2,4,2,4
107,CMR,2,1,1,1
108,BHR,1,2,1,1
109,BFA,1,1,1,1
110,ASM,1,0,0,0
111,BOL,1,1,1,1
112,BRN,1,0,1,0
113,BWA,1,0,1,0
114,UZB,1,2,0,1
115,TKM,1,0,0,0
116,ARG,1,3,1,2
117,TCD,1,2,0,0
118,MKD,1,5,1,4
119,COD,1,1,0,1
120,ISL,1,4,1,3
121,MNE,1,3,0,3
122,OMN,1,2,1,2
123,PAN,1,1,0,0
124,KAZ,1,1,0,0
125,JAM,1,0,1,0
126,PSE,1,2,1,1
127,QAT,1,2,1,2
128,HND,1,1,0,1
129,COL,1,2,1,2
130,GTM,1,1,0,1
131,SDN,1,5,1,5
132,MLI,1,1,1,1
133,GMB,1,1,0,0
134,GEO,1,3,1,1
135,ERI,1,1,0,0
136,DZA,1,0,1,0
137,SEN,1,0,1,0
